arxiv_id,found_in_artifacts,paper_title,paper_authors,paper_pub_date,G1,G2,G3,G4,G5,G6,G7,T1,T2,Q1,Q2,Q3
1412.6572,"CleverHans, IBM ART",,,,,,,,,,,,,,,
1412.6980,"CleverHans, PyRIT",,,,,,,,,,,,,,,
1506.02025,Foolbox,,,,,,,,,,,,,,,
1507.00677,"Foolbox, IBM ART",,,,,,,,,,,,,,,
1511.04599,"Foolbox, IBM ART",,,,,,,,,,,,,,,
1511.05122,IBM ART,,,,,,,,,,,,,,,
1511.07528,IBM ART,,,,,,,,,,,,,,,
1605.07277,IBM ART,,,,,,,,,,,,,,,
1607.02533,"Foolbox, IBM ART",,,,,,,,,,,,,,,
1608.04644,"CleverHans, Foolbox, IBM ART",,,,,,,,,,,,,,,
1610.05820,IBM ART,,,,,,,,,,,,,,,
1610.08401,IBM ART,,,,,,,,,,,,,,,
1611.01236,"CleverHans, IBM ART",,,,,,,,,,,,,,,
1611.05431,RobustBench,,,,,,,,,,,,,,,
1703.06857,CleverHans,,,,,,,,,,,,,,,
1706.06083,IBM ART,,,,,,,,,,,,,,,
1708.03999,IBM ART,,,,,,,,,,,,,,,
1708.06733,IBM ART,,,,,,,,,,,,,,,
1709.04114,IBM ART,,,,,,,,,,,,,,,
1710.06081,"Foolbox, IBM ART",,,,,,,,,,,,,,,
1710.08864,IBM ART,,,,,,,,,,,,,,,
1712.02779,"Foolbox, IBM ART",,,,,,,,,,,,,,,
1712.04248,"Foolbox, IBM ART",,,,,,,,,,,,,,,
1712.06751,TextAttack,,,,,,,,,,,,,,,
1712.09665,IBM ART,,,,,,,,,,,,,,,
1801.01944,IBM ART,,,,,,,,,,,,,,,
1801.04354,TextAttack,,,,,,,,,,,,,,,
1802.00420,CleverHans,,,,,,,,,,,,,,,
1802.05666,CleverHans,,,,,,,,,,,,,,,
1803.01128,TextAttack,,,,,,,,,,,,,,,
1804.00792,IBM ART,,,,,,,,,,,,,,,
1804.07781,TextAttack,,,,,,,,,,,,,,,
1804.07998,TextAttack,,,,,,,,,,,,,,,
1805.09190,Foolbox,,,,,,,,,,,,,,,
1805.11090,Foolbox,,,,,,,,,,,,,,,
1806.02299,IBM ART,,,,,,,,,,,,,,,
1806.05476,IBM ART,,,,,,,,,,,,,,,
1810.08280,IBM ART,,,,,,,,,,,,,,,
1811.09600,Foolbox,,,,,,,,,,,,,,,
1811.11875,IBM ART,,,,,,,,,,,,,,,
1812.02606,IBM ART,,,,,,,,,,,,,,,
1812.02766,IBM ART,,,,,,,,,,,,,,,
1812.05271,TextAttack,,,,,,,,,,,,,,,
1901.03583,IBM ART,,,,,,,,,,,,,,,
1902.07906,IBM ART,,,,,,,,,,,,,,,
1903.10346,IBM ART,,,,,,,,,,,,,,,
1904.02144,"CleverHans, Foolbox, IBM ART",,,,,,,,,,,,,,,
1904.11042,IBM ART,,,,,,,,,,,,,,,
1904.13000,Foolbox,,,,,,,,,,,,,,,
1905.07121,IBM ART,,,,,,,,,,,,,,,
1905.11268,TextAttack,,,,,,,,,,,,,,,
1905.13409,IBM ART,,,,,,,,,,,,,,,
1906.06026,IBM ART,,,,,,,,,,,,,,,
1906.11897,IBM ART,,,,,,,,,,,,,,,
1907.01003,"Foolbox, IBM ART",,,,,,,,,,,,,,,
1907.11932,TextAttack,,,,,,,,,,,,,,,
1909.01838,IBM ART,,,,,,,,,,,,,,,
1909.06723,TextAttack,,,,,,,,,,,,,,,
1910.00033,IBM ART,,,,,,,,,,,,,,,
1911.03274,IBM ART,,,,,,,,,,,,,,,
1911.06502,IBM ART,,,,,,,,,,,,,,,
1912.00049,IBM ART,,,,,,,,,,,,,,,
2002.05123,IBM ART,,,,,,,,,,,,,,,
2002.07088,IBM ART,,,,,,,,,,,,,,,
2003.01690,IBM ART,,,,,,,,,,,,,,,
2003.08937,IBM ART,,,,,,,,,,,,,,,
2003.09461,RobustBench,,,,,,,,,,,,,,,
2004.09984,TextAttack,,,,,,,,,,,,,,,
2005.00191,IBM ART,,,,,,,,,,,,,,,
2005.04118,TextAttack,,,,,,,,,,,,,,,
2007.07677,Foolbox,,,,,,,,,,,,,,,
2007.14321,IBM ART,,,,,,,,,,,,,,,
2007.15528,IBM ART,,,,,,,,,,,,,,,
2008.07125,IBM ART,,,,,,,,,,,,,,,
2009.02276,IBM ART,,,,,,,,,,,,,,,
2009.07502,TextAttack,,,,,,,,,,,,,,,
2102.12827,Foolbox,,,,,,,,,,,,,,,
2103.06504,IBM ART,,,,,,,,,,,,,,,
2106.08970,IBM ART,,,,,,,,,,,,,,,
2106.09898,TextAttack,,,,,,,,,,,,,,,
2108.01644,IBM ART,,,,,,,,,,,,,,,
2109.00544,TextAttack,,,,,,,,,,,,,,,
2111.14725,RobustBench,,,,,,,,,,,,,,,
2202.04235,IBM ART,,,,,,,,,,,,,,,
2205.14497,IBM ART,,,,,,,,,,,,,,,
2206.09628,IBM ART,,,,,,,,,,,,,,,
2212.11005,RobustBench,,,,,,,,,,,,,,,
2303.01870,RobustBench,,,,,,,,,,,,,,,
2304.05370,IBM ART,,,,,,,,,,,,,,,
2307.15043,PyRIT,,,,,,,,,,,,,,,
2308.03825,PyRIT,,,,,,,,,,,,,,,
2308.13387,PyRIT,,,,,,,,,,,,,,,
2309.10253,PyRIT,,,,,,,,,,,,,,,
2312.02119,PyRIT,,,,,,,,,,,,,,,
2401.06373,"HarmBench, PyRIT",,,,,,,,,,,,,,,
2401.15817,PyRIT,,,,,,,,,,,,,,,
2402.04249,"HarmBench, PyRIT",,,,,,,,,,,,,,,
2402.16717,PyRIT,,,,,,,,,,,,,,,
2403.12025,PyRIT,,,,,,,,,,,,,,,
2404.01318,PyRIT,,,,,,,,,,,,,,,
2404.15881,IBM ART,,,,,,,,,,,,,,,
2406.14598,PyRIT,,,,,,,,,,,,,,,
2406.18682,PyRIT,,,,,,,,,,,,,,,
2408.03972,IBM ART,,,,,,,,,,,,,,,
2501.01151,PyRIT,,,,,,,,,,,,,,,
2505.21605,PyRIT,,,,,,,,,,,,,,,
